l,n,parity,delta_omega_0_re,delta_omega_0_im,delta_omega_1_re,delta_omega_1_im
2,0,E,0.010993,-0.004418,0.005213,-0.001602
2,0,O,0.011031,0.001308,0.009256,0.007096
2,1,E,0.005273,-0.001006,-0.002978,0.002402
2,1,O,0.003665,-0.002496,0.016534,-0.002478
2,2,E,0.015258,0.003087,-0.005149,0.020426
2,2,O,-0.010773,0.015097,0.013097,-0.012111
3,0,E,0.014459,-0.000826,0.006481,0.000094
3,0,O,0.013157,0.000725,0.006895,0.002728
3,1,E,0.012896,-0.002604,0.005271,0.000429
3,1,O,0.012286,-0.000798,0.009001,0.002506
3,2,E,0.012507,-0.002582,0.003928,0.003144
3,2,O,0.011409,0.000008,0.010512,0.002136
4,0,E,0.017219,-0.000021,0.006569,0.000358
4,0,O,0.016365,0.000425,0.006628,0.001442
4,1,E,0.017127,-0.001340,0.006486,0.000860
4,1,O,0.016327,-0.000428,0.007491,0.002016
4,2,E,0.017403,-0.002076,0.006323,0.001907
4,2,O,0.016642,-0.000541,0.008377,0.002597
5,0,E,0.020333,0.000157,0.006620,0.000361
5,0,O,0.019801,0.000274,0.006626,0.000908
5,1,E,0.020596,-0.000695,0.006711,0.000925
5,1,O,0.019975,-0.000286,0.007067,0.001540
5,2,E,0.021192,-0.001310,0.006828,0.001667
5,2,O,0.020533,-0.000506,0.007596,0.002201
6,0,E,0.023649,0.000184,0.006663,0.000323
6,0,O,0.023305,0.000191,0.006662,0.000638
6,1,E,0.023990,-0.000389,0.006768,0.000869
6,1,O,0.023544,-0.000209,0.006921,0.001223
6,2,E,0.024658,-0.000842,0.006930,0.001490
6,2,O,0.024146,-0.000421,0.007268,0.001833
7,0,E,0.027069,0.000173,0.006700,0.000285
7,0,O,0.026837,0.000141,0.006697,0.000483
7,1,E,0.027411,-0.000235,0.006791,0.000788
7,1,O,0.027091,-0.000160,0.006866,0.001008
7,2,E,0.028067,-0.000569,0.006941,0.001331
7,2,O,0.027681,-0.000345,0.007109,0.001553
8,0,E,0.030544,0.000152,0.006728,0.000252
8,0,O,0.030380,0.000108,0.006725,0.000385
8,1,E,0.030866,-0.000151,0.006803,0.000711
8,1,O,0.030633,-0.000127,0.006844,0.000856
8,2,E,0.031483,-0.000404,0.006932,0.001194
8,2,O,0.031192,-0.000283,0.007024,0.001343
9,0,E,0.034050,0.000133,0.006754,0.000227
9,0,O,0.033931,0.000087,0.006748,0.000319
9,1,E,0.034348,-0.000100,0.006817,0.000649
9,1,O,0.034173,-0.000102,0.006833,0.000743
9,2,E,0.034921,-0.000298,0.006919,0.001076
9,2,O,0.034699,-0.000235,0.006977,0.001184
10,0,E,0.037574,0.000114,0.006767,0.000203
10,0,O,0.037484,0.000069,0.006766,0.000271
10,1,E,0.037849,-0.000064,0.006825,0.000593
10,1,O,0.037716,-0.000078,0.006841,0.000667
10,2,E,0.038379,-0.000229,0.006911,0.000984
10,2,O,0.038207,-0.000198,0.006943,0.001051
